,Job Role Title,Skill Set Needed
0,PPC Executive,"['Production Planning Control Executive', 'PPC Executive']"
1,System Administrator,"['Hadoop', 'Apache', 'Ubuntu', 'NAGIOS', 'SSH', 'AWS', 'Linux Administration', 'Redhat', 'MySQL']"
2,Web Developer,"['CSS', 'Front-end frameworks (e.g., React)']"
3,IT Security Auditor,['Information Security Audit']
4,US Staffing Specialist,"['US Staffing', 'Client Acquisition']"
5,IT Deployment Specialist,"['Linux Administration', 'Cloud', 'Configuration', 'Google Application Deployment']"
6,Digital Marketing Specialist,"['Targeting', 'CRM', 'Marketing Strategy']"
7,Technical Project Manager,"['Resource management', 'Project planning', 'Agile methodologies']"
8,Front Office Coordinator,"['Guest Relation Executive', 'Front Office Executive']"
9,Grass GIS Specialist,['GRASS GIS']
10,Assistant Manager,"['AM PED', 'Team Leader PED', 'Senior Executive PED']"
11,Business Growth Manager,"['Key Account Management', 'Business Development', 'Marketing Operations', 'Region', 'Business Growth', 'Sales Management']"
12,IT Support Specialist,"['IIS', 'WCF', 'Javascript', 'JSON', 'C#', 'MSBuild', 'Classic ASP', 'JQuery']"
13,Business Growth Manager,"['Key Account Management', 'Business Development', 'Marketing Operations', 'Sales Management', 'Region', 'Business Growth']"
14,Customer Support,['Customer Care']
15,X-Ray Technician,"['USG', 'Typist', 'X-Ray', 'Ultrasound', 'MRI']"
16,Pharmaceuticals Expert,"['Pellets', 'Solid Oral Dosage', 'Tablets']"
17,IT Deployment Specialist,['Networking']
18,UI/UX Developer,"['JavaScript', 'J2EE']"
19,Training Coordinator,"['CSR', 'Training Management', 'Policies', 'Publicity', 'Recruitment']"
20,Finance Analyst,['Finance and Tax']
21,IT Deployment Specialist,"['Linux Administration', 'Networking', 'Cloud']"
22,System Administrator,"['AWS', 'Apache', 'MySQL', 'SSH', 'Linux Administration', 'Hadoop', 'Ubuntu']"
23,Technical Project Manager,"['Project planning', 'Agile methodologies', 'Resource management']"
24,Quality Assurance Specialist,"['Product Quality', 'Quality Assurance', 'QMS', 'Marketing', 'ISO 9001', 'Process Audit', 'Quality Engineering']"
25,HR Business Partner,['HRBP']
